id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
12333,boardgame,Twilight Struggle,2005,2,2,180,180,180,13,20113,8.33774,8.22186,26647,372,1219,5865,5347,2562,3.4785
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,14383,8.28798,8.14232,16519,132,1586,6277,2526,1423,3.8939
102794,boardgame,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,9262,8.28994,8.06886,12230,99,1476,5600,1700,777,3.7761
25613,boardgame,Through the Ages: A Story of Civilization,2006,2,4,240,240,240,12,13294,8.20407,8.05804,14343,362,1084,5075,3378,1642,4.159
3076,boardgame,Puerto Rico,2002,2,5,150,90,150,12,39883,8.14261,8.04524,44362,795,861,5414,9173,5213,3.2943
31260,boardgame,Agricola,2007,1,5,150,30,150,12,39714,8.11957,8.03847,47522,837,958,6402,9310,5065,3.616
124742,boardgame,Android: Netrunner,2012,2,2,45,45,45,14,15281,8.1676,7.97822,24381,680,627,3244,3202,1260,3.3103
96848,boardgame,Mage Knight Board Game,2011,1,4,150,150,150,14,12697,8.15901,7.96929,18769,367,1116,5427,2861,1409,4.1292
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,15461,8.07879,7.95011,20558,215,929,3681,3244,1176,3.0442
72125,boardgame,Eclipse,2011,2,6,200,60,200,14,15709,8.07933,7.93244,17611,273,1108,5581,3188,1486,3.6359
2651,boardgame,Power Grid,2004,2,6,120,120,120,12,34422,7.9888,7.91794,38633,550,1171,6157,7531,3998,3.2911
164153,boardgame,Star Wars: Imperial Assault,2014,2,5,90,90,90,0,3980,8.43944,7.91643,8477,57,701,2970,736,360,3.225
115746,boardgame,War of the Ring (second edition),2012,2,4,150,150,150,13,3870,8.35044,7.88643,6257,71,677,2431,771,288,3.9375
121921,boardgame,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,180,90,180,14,10539,8.09283,7.88503,15896,217,1379,5821,2109,896,3.6328
35677,boardgame,Le Havre,2008,1,5,200,100,200,12,15774,7.99115,7.88172,16429,205,1343,5149,3458,1450,3.7531
28720,boardgame,Brass,2007,3,4,180,120,180,13,8785,8.03071,7.85824,9171,149,798,2858,2259,1012,3.8646
126163,boardgame,Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90,13,12143,7.98673,7.83148,13958,120,1056,3945,2144,933,3.5595
150376,boardgame,Dead of Winter: A Crossroads Game,2014,2,5,210,45,210,14,9188,8.05776,7.82389,13692,144,1086,4956,1602,608,2.9408
68448,boardgame,7 Wonders,2010,2,7,30,30,30,10,36732,7.87047,7.79413,44982,464,1046,5806,7126,2917,2.3384
18602,boardgame,Caylus,2005,2,5,150,60,150,12,19160,7.89829,7.78071,18885,353,878,4011,4984,2894,3.8252
122515,boardgame,Keyflower,2012,2,6,120,90,120,12,6753,7.98786,7.7478,8599,78,1017,3197,1442,517,3.3056
40834,boardgame,Dominion: Intrigue,2009,2,4,30,30,30,13,19261,7.85479,7.73936,26403,374,461,2281,3005,1121,2.4469
62219,boardgame,Dominant Species,2010,2,6,240,120,240,14,10187,7.89276,7.72445,11003,243,1017,4285,2613,1070,4.0103
28143,boardgame,Race for the Galaxy,2007,2,4,60,30,60,12,28655,7.80281,7.72433,33736,708,761,4597,6807,2922,2.9617
103885,boardgame,Star Wars: X-Wing Miniatures Game,2012,2,4,60,60,60,14,11194,7.93301,7.72151,19899,334,421,1826,2183,911,2.4577
93,boardgame,El Grande,1995,2,5,120,60,120,12,15853,7.83279,7.71949,15556,261,1130,3787,4250,1861,3.0919
146021,boardgame,Eldritch Horror,2013,1,8,240,120,240,14,8388,7.97188,7.71614,13668,147,643,3447,1585,674,3.2834
110327,boardgame,Lords of Waterdeep,2012,2,5,60,60,60,12,19864,7.82181,7.70704,24419,257,995,4706,3898,1493,2.5177
37111,boardgame,Battlestar Galactica,2008,3,6,240,120,240,10,20833,7.82752,7.70269,22735,514,643,4005,4817,1783,3.2013
12493,boardgame,Twilight Imperium (Third Edition),2005,3,6,240,180,240,12,12064,7.88473,7.6917,13771,287,927,4650,3369,1761,4.1942
36218,boardgame,Dominion,2008,2,4,30,30,30,13,44319,7.77298,7.68894,55501,1162,511,4362,9078,4089,2.3766
128882,boardgame,The Resistance: Avalon,2012,5,10,30,30,30,13,9639,7.86147,7.67008,14186,184,305,1674,1711,522,1.8027
